Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
table_base_link,2.3567E-05,8.5912E-06,0.1751,0,0,0,11.54,0.50144,-1.804E-05,7.2205E-06,0.66933,8.752E-06,0.69513,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/table_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/table_base_link.STL,,table-3/L1_targett-2;table-3/M1_targett-2;table-3/M2_targett-1;table-3/table1-1;table-3/S1_targett-1,TABLE_BASE_FRAME <table-3>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
m1_target_link,0,0,-0.0015,0,0,0,0.0021206,1.2087E-07,0,5.8901E-26,1.2087E-07,2.7617E-25,2.3856E-07,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/m1_target_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/m1_target_link.STL,,table-3/M1_targett-2,M1 <table-3>,,m1_fixed_joint,fixed,-0.27578,0.2314,0.3525,0,0,0,table_base_link,0,0,0,,,,,,,,,,,,
m2_target_link,-2.77555756156289E-17,0,-0.00150000000000006,0,0,0,0.00212057504117311,1.20872777346867E-07,-7.3468396926393E-40,5.89011439803959E-26,1.20872777346867E-07,2.76167951126479E-25,2.38564692131975E-07,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/m2_target_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/m2_target_link.STL,,table-3/M2_targett-1,M2 <table-3>,Axis_m2_fixed_joint,m2_fixed_joint,fixed,-0.191511110779744,-0.160696902421635,0.3525,0,0,0,table_base_link,0,0,0,,,,,,,,,,,,
s1_target_link,0,-1.11022302462516E-16,-0.0015,0,0,0,0.000942477796076939,2.42688032489812E-08,-1.83670992315982E-40,2.61782862135057E-26,2.42688032489812E-08,-1.16107388026698E-26,4.71238898038469E-08,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/s1_target_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/s1_target_link.STL,,table-3/S1_targett-1,S1 <table-3>,Axis_s1_fixed_joint,s1_fixed_joint,fixed,-0.0162000258782906,-0.000766044443119007,0.3525,0,0,0,table_base_link,0,0,0,,,,,,,,,,,,
l1_target_link,0,0,-0.0015,0,0,0,0.00376991118430776,3.79818551819008E-07,5.87747175411144E-39,1.04713144854041E-25,3.79818551819008E-07,-6.09547843350698E-25,7.53982236861554E-07,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/l1_target_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://table_harness_urdf_v3/meshes/l1_target_link.STL,,table-3/L1_targett-2,L1 <table-3>,,l1_fixed_joint,fixed,0.35,0,0.3525,0,0,0,table_base_link,0,0,0,,,,,,,,,,,,
